in summer,jefre cantu-ledesma,8.0
rattle,rattle,5.0
open your eyes,dj earl,6.9
spinhead sessions,sonic youth,6.4
radiating light: orchid tapes & friends,various artists,6.7
crappin you negative,the grifters,7.9
callus,gonjasufi,7.6
fishing blues,atmosphere,5.6
paramount,fury,8.0
boronia,hockey dad,5.6
official,kool a.d.,6.4
5tarb01,lexxi,8.0
jumping the shark,alex cameron,7.8
the get down ost,various artists,6.2
partynextdoor 3 (p3),partynextdoor,7.4
convenience,pill,7.9
kiid,mal devisa,8.1
sremmlife 2,rae sremmurd,7.6
one day all of this won't matter any more,slow club,7.4
roosevelt,roosevelt,7.0
more better days,various artists,8.3
dry,pj harvey,9.2
daniel son ; necklace don,2 chainz,7.7
kaleidoscope world,the chills,8.2
golden sings that have been sung,ryley walker,6.5
chronicles 1,the 7th plain,7.2
a weird exits,thee oh sees,7.5
live from trona,toro y moi,6.8
25 25,factory floor,6.0
summer camp,themind,7.0
innocence reaches,of montreal,6.3
encore,dj snake,5.3
way down in the jungle room,elvis presley,7.0
verschiebung,roman flgel,6.8
the land ost,various artists,6.1
interior architecture,m. geddes gengras,7.0
what now?,jon bap,6.5
flood network,katie dey,7.8
suicide squad: the album,various artists,4.0
start your own fucking show space,various artists,7.8
generationwhy,zhu,4.8
sweatbox dynasty,tobacco,6.7
well worn,kllo,6.5
boy king,wild beasts,6.8
telefone,noname,8.0
phantoms of dreamland,michal turtle,7.9
cluster ensemble: plays philip glass,cluster ensemble,8.3
dangerous,michael jackson,8.6
how it feels to be something on,sunny day real estate,8.8
cam & china,cam & china,8.0
lovers,nels cline,7.6
revisions of the past,panopticon,7.0
major key,dj khaled,6.9
1-800 dinosaur presents trim,trim,6.0
night melody,rival consoles,8.0
hypercaffium spazzinate,descendents,7.3
the perfect luv tape,lil uzi vert,6.9
impossible dream,haley bonar,6.8
 give a glimpse of what yer not,dinosaur jr.,7.5
hangin at the beach,delroy edwards,7.5
jaguar mirror,thunder tillman,7.7
spend the night with...,cheena,6.9
for all we know,nao,7.9
4oki,steve aoki,2.5
shy layers,shy layers,8.2
the king of whys,owen,7.2
s+@dium rock: five nights at the opera,titus andronicus,7.0
the discos of imhotep,hieroglyphic being,8.0
meshuggah ep,meshuggah,4.0
take down,metronome,8.3
blood sugar sex magik,red hot chili peppers,7.1
in concert,nina simone,10.0
sky girl,various artists,8.2
drool sucker,no joy,6.8
stranger to violence,psalm zero,6.4
 a mulher do fim do mundo (the woman at the end of the world) ,elza soares,8.4
let me hang you,william s. burroughs,5.8
d.t.s.n.t. ,stwo,6.3
boleros valses y mas,frankie reyes,6.8
late nights: europe,jeremih,7.8
lil durk 2x,lil durk,7.7
the bird & the rifle,lori mckenna,7.6
noise patterns,tristan perich,8.0
summer songs 2,lil yachty,6.1
guidance,russian circles,7.5
unfinished,florian kupfer,7.0
dead revolution,hammers of misfortune,7.8
everybody looking,gucci mane,7.0
this is gap dream,gap dream,5.2
young jefe 2,shy glizzy,7.1
command your weather,big business,7.6
coolaid,snoop dogg,5.8
love & hate,michael kiwanuka,6.9
songs and jams vol. 1,notekillers,8.2
sound signature presents: these songs that should've been out on wax by now - part one,various artists,7.4
buhloone mindstate,de la soul,9.1
call by night,wymond miles,7.5
ambulance,the amazing,7.0
cistern,jherek bischoff,6.8
kuiper,floating points,7.3
drankin & drivin,z-ro,7.2
gqom oh! x crudo volta mixtape,various artists,7.0
four meditations / sound geometries,pauline oliveros,7.4
heavn,jamila woods,8.4
no hard feelings,dreezy,7.7
horror zone,max romeo,8.0
mono no aware,johnny foreigner,7.9
centres,ian william craig,8.2
princess,abra,6.2
community service 2!,towkio,6.5
indifferent rivers romance end,wreck and reference,8.0
iv,badbadnotgood,7.1
operator,mstrkrft,6.5
pylon live,pylon,8.0
2016 / 1986,wolfgang tillmans,6.9
32 levels,clams casino,6.9
elysia crampton presents: demon city,elysia crampton,8.2
camp cope,camp cope,8.0
devotional songs,shackleton,7.2
caramel,konx-om-pax,7.4
tusk,fleetwood mac,9.2
hit reset,the julie ruin,8.2
3 way,migos,6.5
sketches from an island 2,mark barrott,8.0
eleven into fifteen: a 130701 compilation,various artists,7.5
nothings real,shura,7.7
the columbia years 1968-69,betty davis,6.8
new introductory lectures on the system of transcendental qabala,kel valhaal,3.5
dj-kicks,jackmaster,7.5
blank face lp,schoolboy q,8.3
made to measure,darkstar,6.8
double bind,trust punks,6.9
stateless,tangents,7.8
entraas,arca,8.1
windings,lindstrm,7.7
blisters in the pit of my heart,martha,7.3
plum,john roberts,6.9
blacksummersnight,maxwell,8.4
church ep,kelsey lu,7.6
black bubblegum,eric copeland,7.0
gone is gone,gone is gone,5.3
resolutionary (songs 1979-1982),vivien goldman,8.5
take her up to monto,risn murphy,7.8
dream world,araabmuzik,6.1
gggs,gggs,7.4
waking at dawn,roy wood$,6.0
the miseducation of lauryn hill,lauryn hill,9.5
summer 08,metronomy,7.2
live at third man records,scharpling & wurster,7.8
into the light,marisa anderson,7.9
fallen,steven julien,7.1
wildflower,the avalanches,8.5
nite-funk,nite-funk,7.8
magma,gojira,7.6
cheetah,aphex twin,8.2
paradise gallows,inter arma,8.0
streets of compton,the game,6.3
hot hot heat,hot hot heat,5.1
california,blink-182,5.5
primary colours,magic!,3.5
weaves,weaves,6.8
biologia animale e vegetale,egisto macchi,6.9
the bride,bat for lashes,7.6
delirium tremens,mick harvey,7.3
alice bag,alice bag,7.5
anagrams,stephen steinbrink,7.0
different class,pulp,9.3
new english,desiigner,4.7
nice as fuck,nice as fuck,6.6
uniola,look mexico,7.4
dream music,sunpath,7.6
human story 3,james ferraro,5.0
autodrama,puro instinct,6.4
entities inertias faint beings,david toop,7.5
freetown sound,blood orange,8.8
indigo,river tiber,7.8
sound in time,lungfish,7.4
the magic,deerhoof,6.9
going by,told slant,7.4
fire,amy klein,4.9
otero war,caveman,5.2
b,bjarki,5.8
suicide,suicide,9.1
true sadness,the avett brothers,3.8
muzik,delorean,5.0
yoncalla,yumi zouma,7.4
jay ii,jay arner,7.0
tonight's the night,neil young,10.0
the mountain will fall,dj shadow,6.6
warm leatherette,grace jones,8.5
american tunes,allen toussaint,7.2
trans day of revenge,g.l.o.s.s.,8.5
the dreaming room,laura mvula,7.8
post plague,odonis odonis,7.9
libras,saqqara mastabas,6.4
moog for love,disclosure,6.0
tween,wye oak,8.0
secretly susan,sui zhen,7.8
blood // sugar // secs // traffic,the gotobeds,5.6
puberty 2,mitski,8.5
magic 19,bishop nehru,5.9
brigid mae power,brigid mae power,7.5
delayer,rlyr,7.0
the glowing man,swans,8.1
still brazy,yg,8.0
eldorado,ro james,6.5
the getaway,red hot chili peppers,5.4
pagan,palmistry,5.0
friday night,will butler,6.7
media in the service of terror,vatican shadow,7.7
weval,weval,8.0
all things must pass,george harrison,9.0
case/lang/veirs,case/lang/veirs,8.2
a youthful dream,yung,6.5
lil b.i.g. pac,kodak black,7.2
you will never be one of us,nails,7.8
earth,neil young,6.5
on my one,jake bugg,3.0
live at the witch trials,the fall,8.3
alpha,audion,6.1
last year was complicated,nick jonas,6.3
liquid cool,nite jewel,6.2
early recordings,waxahatchee,7.2
midnight,dan lissvik,6.9
mandatory check,mozzy,6.8
turn to gold,diarrhea planet,6.4
why are you ok,band of horses,6.0
thick as thieves,the temper trap,5.7
jackie lynn,jackie lynn,6.9
argonautica,nate wooley,7.7
twentyears,air,5.6
for those of you who have never (and also those who have),huerco s.,8.1
the digging remedy,plaid,6.5
movie!,holger czukay,8.0
what one becomes,sumac,7.8
hounds of love,kate bush,10.0
fantasma,cornelius,8.8
piano,alexis taylor,7.1
wild things,ladyhawke,5.7
fall forever,fear of men,6.7
strange little birds,garbage,7.0
foiled again,speedy ortiz,7.2
victorious ,floorplan,6.8
emotions and math,margaret glaspy,7.7
theres alot going on ,vic mensa,7.5
stranger to stranger,paul simon,7.2
breakin point,peter bjorn and john,5.7
the other side of the river,terry reid,8.4
love you to death,tegan and sara,7.1
blonde on blonde revisited,various artists,7.6
black terry cat,xenia rubinos,8.0
future present past ep,the strokes,6.0
ash & ice,the kills,6.2
levitate,lone,7.6
it came from n.y.c.,white zombie,8.1
light upon the lake,whitney,8.3
masterpiece,big thief,7.7
basses loaded,melvins,5.5
big bossin vol. 1,payroll giovanni,8.0
the fan-tas-tic box set,slum village,8.5
eyes on the lines,steve gunn,8.0
the wailing wailers,the wailers,8.0
still they pray,cough,7.6
iiidrops,joey purp,8.2
7/27,fifth harmony,6.2
dj-kicks,dm-funk,7.7
collapse,seiho,7.4
skin,flume,6.4
modern country,william tyler,8.0
suck on this,die antwoord,5.0
awkward pop songs,jank,7.9
mark kozelek sings favorites,mark kozelek,5.5
congrats,holy fuck,6.6
folding time,sepalcure,6.0
angry angles,angry angles,7.6
murder for hire 2,kevin gates,7.4
kidsticks,beth orton,7.6
minor victories,minor victories,6.0
rock the fuck on forever,angel du$t,6.9
mosey,daniel romano,7.1
x-communicate,kristin kontrol,7.5
the dream is over,pup,7.8
tempo,olga bell,7.9
