In Tongues EP,Joji,5.2
Landfall,Laurie AndersonKronos Quartet,7.7
Hundred Acres,S. Carey,6.4
async remodels,Ryuichi Sakamoto,6.3
Three/Three,Dabrye,7.0
Gangin,SOB X RBE,8.3
Witness Marks: The Works of John B. McLemore,John B. McLemore,6.8
Lo Moon,Lo Moon,5.0
FEVER,Black Milk,7.4
Language,Starchild & the New Romantic,7.2
40oz. to Freedom,Sublime,5.6
Victory Lap,Nipsey Hussle,7.8
Lala Belu,Hailu Mergia,8.0
Gemini II,Johanna Warren,7.0
Game Winner EP,Joey Dosik,6.3
Reachin’ (A New Refutation of Time and Space),Digable Planets,8.7
All at Once,Screaming Females,8.0
2 Heartless,Moneybagg Yo,7.2
Kyoto,Tyga,3.3
Black Panther (Original Score),Ludwig Göransson,7.6
Heart Break Kodak,Kodak Black,5.0
Loma,Loma,7.8
American Nightmare,American Nightmare,7.3
What a Time to Be Alive,Superchunk,8.1
How to Solve Our Human Problems, Pt. 3,Belle and Sebastian,7.2
Everything Is Recorded by Richard Russell,Everything Is Recorded,7.2
Last Night All My Dreams Came True,Wild Beasts,6.6
In a Poem Unlimited,U.S. Girls,8.6
Bulletproof Luh,Mach-Hommy,7.4
Tomorrow’s Shore EP,Ride,7.0
Dear Annie,Rejjie Snow,5.5
Room Inside the World,Ought,7.1
A Whole Fucking Lifetime of This,American Pleasure Club,7.9
The Boy With the Arab Strap,Belle and Sebastian,8.5
Way Out West,Sonny Rollins,8.8
Sir,Fischerspooner,5.8
By the Way, I Forgive You,Brandi Carlile,6.9
Few Traces,Mark Renner,7.7
Twin Fantasy,Car Seat Headrest,8.6
Brighter Wounds,Son Lux,7.3
Wait for Love,Pianos Become the Teeth,7.7
Glass,Alva NotoRyuichi Sakamoto,7.5
Travels in Constants EP,Songs: Ohia,8.0
The Secret Life of Planets,Zaki Ibrahim,7.8
Effected,Cozz,6.8
Unsolved Mysteries,Ashtar Lavanda,7.1
The Play Don’t Care Who Makes It EP,2 Chainz,7.5
Cranberry,Hovvdy,7.5
Slow Sundown,Holy Motors,6.1
Music for the Long Emergency,Poliças t a r g a z e,5.2
Crush EP,Ravyn Lenae,7.9
High Rise II,High Rise,8.4
Tongue,Anenon,7.5
Order of Torment,Genocide Pact,7.3
Black Panther The Album,Various Artists,7.5
Transangelic Exodus,Ezra Furman,7.4
Cloud 909,Audio Push,5.9
Pure Beauty,SHIRT,6.3
Dead Start Program,John Tejada,6.5
Stankonia,OutKast,9.5
Crooked Shadows,Dashboard Confessional,4.7
Go Dig My Grave,Susanna,6.0
Posthuman,Harm’s Way,6.8
How to Measure the Distance Between Lovers EP,Mija,7.0
Little Dark Age,MGMT,7.0
Rock Island,Palm,6.8
The Two Worlds,Brigid Mae Power,7.4
Drip Season 3,Gunna,5.2
Always Ascending,Franz Ferdinand,6.9
Pissing Stars,Efrim Manuel Menuck,7.8
Metal Aether,Lea Bertucci,7.6
Dream Wife,Dream Wife,6.7
If You’re Into It, I’m Out of It,Christoph De Babalon,8.4
Criminal,The Soft Moon,7.2
There Will Be Rain,Caleb Giles,7.0
Early Tape Works (1986-1993) Vol.1,Kuniyuki Takahashi,6.9
Amen,Rich Brian,5.9
ION,Portal,7.8
The Book Room,Kilchhofer,7.7
Mitteltöner,K. Leimer,7.5
Blood,Rhye,6.3
Microshift,Hookworms,7.9
Full Circle Nightmare,Kyle Craft,4.1
Island Universe Story Four,Helado Negro,7.4
The Well-Tuned Piano 81 X 25 6:17:50 - 11:18:59 PM NYC,La Monte Young,9.5
Pulse/Quartet,Steve Reich,4.9
Quit the Curse,Anna Burch,6.8
起き上がり,Mukqs,7.1
Cosmic Crypt,Mammoth Grinder,7.6
Man of the Woods,Justin Timberlake,3.8
Lionheart,H.C. McEntire,8.0
Outside,Burna Boy,7.7
Open Here,Field Music,7.2
Con Todo El Mundo,Khruangbin,7.6
Follow Them True,Stick in the Wheel,7.7
Slow Fade EP,Daniel Avery,7.0
D’Agala,Sylvie Courvoisier Trio,7.4
Veteran,JPEGMAFIA,7.7
Aren’t U Glad You’re U?,Domo Genesis,4.9
Young & Reckless,OMB Peezy Sherwood Marty,6.8
Impossible Star,Meat Beat Manifesto,6.9
Culture II,Migos,6.4
Big Bossin Vol. 2,Payroll GiovanniCardo,7.8
Oh My,NADINE,6.6
Love Jail,Dommengang,7.0
Snares Like a Haircut,No Age,8.0
Make Me Know You Sweet,Pendant,7.8
The Brown Tape,Ghostface KillahApollo Brown,6.0
Pèze-Piton,RAMZi,7.7
Could It Be Different?,The Spook School,6.8
All Eyez on Me,2Pac,9.4
Fleetwood Mac,Fleetwood Mac,9.0
Vessel of Love,Hollie Cook,7.4
More Disco Songs About Love,De Lux,6.1
Weather or Not,Evidence,7.0
Freedom’s Goblin,Ty Segall,8.1
Beautiful Despair,Television Personalities,6.9
Fabriclive 96,Skream,5.6
The Thread That Keeps Us,Calexico,7.1
Digital Rain,Johnny Jewel,7.4
The Time Is Now,Craig David,5.5
Marble Skies,Django Django,6.9
Down Below,Tribulation,8.0
All Melody,Nils Frahm,7.8
Highly Caffeinated,Curtis Roach,6.3
what people call low self​-​esteem is really just seeing yourself the way that other people see you,awakebutstillinbed,7.7
Un Peu De L’Âme Des Bandits,Aksak Maboul,7.2
I Can Feel You Creep Into My Private Life,Tune-Yards,6.2
The Worm’s Heart,The Shins,6.6
LiE,Mudhoney,6.9
Chris Dave and the Drumhedz,Chris Dave and the Drumhedz,6.2
The House,Porches,6.4
Blue Madonna,BØRNS,5.7
Paranoia 2,Dave East,7.4
Cadence Weapon,Cadence Weapon,7.3
Love/Hate,The-Dream,9.1
Something/Anything?,Todd Rundgren,9.0
